Date,Open,High,Low,Close,Adj Close,Volume
2023-03-01,79.809998,80.360001,78.610001,80.279999,80.279999,186700
2023-03-02,80.279999,81.139999,79.139999,80.650002,80.650002,114300
2023-03-03,80.500000,81.699997,80.209999,80.519997,80.519997,126000
2023-03-06,80.959999,81.519997,79.550003,80.739998,80.739998,129700
2023-03-07,81.190002,82.250000,78.559998,79.139999,79.139999,175000
2023-03-08,79.010002,80.720001,78.839996,79.519997,79.519997,103500
2023-03-09,79.180000,80.089996,76.470001,76.750000,76.750000,129800
2023-03-10,76.699997,76.699997,71.800003,71.940002,71.940002,428200
2023-03-13,71.349998,73.290001,70.300003,70.570000,70.570000,259600
2023-03-14,71.879997,73.980003,71.000000,71.449997,71.449997,200300
2023-03-15,69.900002,69.989998,65.199997,67.739998,67.739998,504400
2023-03-16,67.000000,69.199997,65.000000,68.709999,68.709999,393400
2023-03-17,69.000000,69.019997,63.889999,64.370003,64.370003,337300
2023-03-20,64.500000,65.790001,64.199997,65.389999,65.389999,352800
2023-03-21,66.870003,67.220001,66.010002,66.080002,66.080002,297200
2023-03-22,66.099998,67.110001,63.700001,63.700001,63.700001,313400
2023-03-23,64.500000,67.830002,63.869999,66.080002,66.080002,389600
2023-03-24,65.959999,66.379997,64.349998,65.500000,65.500000,352600
2023-03-27,65.910004,65.910004,63.750000,65.440002,65.440002,221900
2023-03-28,65.239998,65.820000,63.759998,63.840000,63.840000,128500
2023-03-29,64.139999,65.330002,63.669998,64.000000,64.000000,293000
2023-03-30,65.000000,65.930000,64.029999,65.250000,65.250000,307900
2023-03-31,65.650002,67.639999,65.650002,67.180000,67.180000,235100
2023-04-03,66.500000,67.470001,65.800003,66.389999,66.389999,151600
2023-04-04,66.379997,66.379997,63.400002,63.990002,63.990002,198200
2023-04-05,63.380001,63.380001,60.910000,61.169998,61.169998,211400
2023-04-06,61.000000,61.500000,60.099998,61.040001,61.040001,401000
2023-04-10,60.270000,61.790001,59.520000,61.669998,61.669998,138500
2023-04-11,61.450001,62.619999,61.040001,62.250000,62.250000,262100
2023-04-12,63.250000,64.559998,61.580002,61.700001,61.700001,301400
2023-04-13,61.990002,63.430000,60.700001,63.410000,63.410000,385900
2023-04-14,63.009998,63.820000,61.570000,62.099998,62.099998,216200
2023-04-17,61.860001,61.860001,60.040001,60.830002,60.830002,139400
2023-04-18,61.209999,61.209999,60.080002,60.709999,60.709999,170400
2023-04-19,60.099998,61.290001,59.099998,60.330002,60.330002,364900
2023-04-20,59.419998,60.400002,58.349998,58.450001,58.450001,211600
2023-04-21,58.060001,59.130001,56.700001,57.490002,57.490002,634300
2023-04-24,57.000000,58.270000,56.549999,56.669998,56.669998,298200
2023-04-25,55.880001,56.310001,54.580002,54.689999,54.689999,273300
2023-04-26,55.459999,56.770000,55.459999,56.310001,56.310001,157800
2023-04-27,56.700001,56.959999,55.720001,56.450001,56.450001,72200
2023-04-28,56.400002,57.770000,55.759998,57.570000,57.570000,124300
2023-05-01,57.130001,59.639999,57.130001,58.990002,58.990002,177200
2023-05-02,58.439999,58.810001,56.900002,57.480000,57.480000,231200
2023-05-03,57.660000,58.349998,56.689999,56.830002,56.830002,140900
2023-05-04,56.240002,57.570000,55.259998,55.610001,55.610001,94900
2023-05-05,55.959999,56.000000,51.509998,52.139999,52.139999,570700
2023-05-08,52.340000,53.700001,51.919998,52.740002,52.740002,317900
2023-05-09,52.369999,53.419998,52.080002,52.570000,52.570000,507600
2023-05-10,53.580002,53.680000,50.330002,50.450001,50.450001,235000
2023-05-11,50.009998,50.950001,49.250000,50.720001,50.720001,180100
2023-05-12,50.770000,50.950001,48.740002,49.520000,49.520000,111800
2023-05-15,49.799999,50.139999,49.200001,49.360001,49.360001,289600
2023-05-16,49.000000,49.490002,48.090000,48.490002,48.490002,180400
2023-05-17,48.869999,50.299999,48.110001,49.770000,49.770000,365600
2023-05-18,49.730000,50.660000,49.639999,50.580002,50.580002,245300
2023-05-19,51.090000,53.459999,50.970001,52.840000,52.840000,622400
2023-05-22,52.840000,56.639999,52.250000,56.130001,56.130001,369900
2023-05-23,50.500000,56.419998,48.570000,54.189999,54.189999,611700
2023-05-24,53.790001,53.790001,50.549999,51.000000,51.000000,226700
2023-05-25,51.000000,51.250000,48.709999,49.849998,49.849998,278300
2023-05-26,50.119999,51.680000,49.349998,51.110001,51.110001,283800
2023-05-30,52.000000,53.150002,51.009998,51.299999,51.299999,258900
2023-05-31,50.889999,51.049999,48.520000,48.799999,48.799999,390100
2023-06-01,48.840000,50.000000,48.299999,49.770000,49.770000,272700
2023-06-02,50.500000,53.709999,50.500000,51.549999,51.549999,305400
2023-06-05,49.150002,49.650002,45.730000,45.970001,45.970001,557900
2023-06-06,46.110001,47.930000,46.080002,47.330002,47.330002,696900
2023-06-07,47.750000,47.750000,46.889999,47.509998,47.509998,435800
2023-06-08,47.529999,48.000000,45.490002,45.650002,45.650002,438000
2023-06-09,46.439999,46.730000,44.619999,45.689999,45.689999,511500
2023-06-12,46.049999,48.759998,46.049999,48.509998,48.509998,632100
2023-06-13,49.490002,51.189999,48.799999,50.080002,50.080002,299800
2023-06-14,50.230000,51.000000,49.410000,50.070000,50.070000,327800
2023-06-15,50.220001,53.490002,49.400002,53.349998,53.349998,301600
2023-06-16,53.639999,53.990002,52.650002,53.970001,53.970001,487900
2023-06-20,53.480000,53.540001,51.070000,52.580002,52.580002,247100
